id,RC1_25,RC2_25,R1_25,R2_25,C1_25,C2_25,RC1_50,RC2_50,R1_50,R2_50,C1_50,C2_50,RC1_100,RC2_100,R1_100,R2_100,C1_100,C2_100,notes
0,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
27,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
31,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
32,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
33,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
37,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
46,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
48,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
49,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
54,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
65,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
66,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
89,8,8,12,11,9,8,8,8,10.0,11,9,8,7,8.0,12,11,9,8,
67,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
75,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
83,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
109,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
110,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
108,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
112,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
116,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
117,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
118,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
123,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
124,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
127,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
129,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
135,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
136,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
137,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
142,5,6,10,10,8,8,4,7,9.0,8,9,8,5,8.0,6,10,9,8,
143,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
144,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
145,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
146,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
147,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
148,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
149,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
150,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
151,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
155,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
157,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
158,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
163,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
164,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
165,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
